time,voltage,m,h,n
0.000000,nan,nan,nan,nan
0.500000,0.000000,0.000000,0.000000,-0.000000
1.000000,13909183488.000000,3141.954346,0.048665,0.000000
1.500000,0.000000,0.000000,0.000000,-0.000000
2.000000,0.000000,0.000000,0.000000,0.000000
2.500000,0.000000,-0.000000,0.000000,-0.000000
3.000000,0.000000,0.000000,0.000000,0.000000
3.500000,0.000000,0.000000,0.000000,-0.000000
4.000000,0.000000,0.000000,0.000000,0.000000
4.500000,0.000000,0.000000,0.000000,-0.000000
5.000000,0.000000,0.000000,0.000000,0.000000
5.500000,18056946957705663208537194496.000000,0.000000,0.000000,-0.000000
6.000000,13778095104.000000,211880853504.000000,3284.081543,54224217964544.000000
6.500000,216377.015625,0.000000,0.000000,-0.000000
7.000000,13909183488.000000,916426391552.000000,14999583901882863510228293386240.000000,70963917386419147898880.000000
7.500000,0.000000,0.000000,0.000000,-0.000000
8.000000,207.321533,3545449728.000000,3269.957520,0.049871
8.500000,0.000000,0.000000,0.000000,-0.000000
9.000000,15223673071442329600.000000,48.326435,958940315648.000000,12.832849
9.500000,0.000000,0.000000,0.000000,0.000000
10.000000,0.000000,0.000000,0.000000,0.000000
10.500000,0.000000,0.000000,946647350800023552.000000,0.000000
11.000000,0.000000,0.000000,0.000000,0.000000
11.500000,0.000000,-556616043718606793876566966272.000000,-0.000000,0.000000
12.000000,0.000000,0.000000,0.000000,0.000000
12.500000,-nan,-nan,0.000000,0.000000
13.000000,0.000000,0.000000,0.000000,-0.000000
13.500000,0.000000,0.000000,0.000000,0.000000
14.000000,0.000000,0.000000,0.000000,0.000000
14.500000,0.000000,0.000000,0.000000,-0.000000
15.000000,14039242506240.000000,903106199552.000000,13268.578125,0.048168
15.500000,14779223040.000000,4584049048607166838615754932224.000000,226465213704371699712.000000,0.000000
16.000000,0.000000,0.000000,0.000000,-0.000000
16.500000,0.000000,0.000000,0.000000,0.000000
17.000000,0.000000,0.000000,0.000000,0.000000
17.500000,0.000000,0.000000,0.000000,-0.000000
18.000000,0.000000,0.000000,0.000000,0.000000
18.500000,0.000000,0.000000,0.000000,0.000000
19.000000,0.000000,0.000000,0.000000,-0.000000
19.500000,1019773911040.000000,0.055517,242142790287360.000000,3293464832.000000
